timestamp,source_hash,experiment_family,parameter_configuration,random_seed,cpu_gpu,runtime_seconds,number_of_evaluations,best_objective,graph_edge_count,degree_sequence_summary,verifier_status,artifact_path
2026-07-23T16:22:56Z,1c085fdcd2fcf3c9f7aa0bbc792c06eeaa392a7df3461907135b84920e1cd839,random_min_conflicts,"n=43;steps=20000;restarts=4;tabu=7;random_walk=0.03",20260723,"Apple M1 Pro 10-core CPU; GPU unused",7.000013,778643,231,456,"19^2 20^8 21^14 22^17 23^2","Python exact C5=127 I5=104; C++ finds both forbidden types; INVALID",results/best_candidates/baseline_seed_20260723.g6
2026-07-23T16:24:18Z,1c085fdcd2fcf3c9f7aa0bbc792c06eeaa392a7df3461907135b84920e1cd839,exoo42_seeded_min_conflicts,"n=43;steps=50000;restarts=4;tabu=11;random_walk=0.02;seed_graph=data/exoo42_constructed.g6",20260724,"Apple M1 Pro 10-core CPU; GPU unused",17.641678,1963226,2,454,"20^14 21^10 22^19","Python exact C5=0 I5=2; C++ finds I5; adversarial audit PASS; INVALID",results/best_candidates/exoo_seed_20260724.canonical.json
2026-07-23T16:28:37Z,1c085fdcd2fcf3c9f7aa0bbc792c06eeaa392a7df3461907135b84920e1cd839,breakout_weighted_min_conflicts,"n=43;steps=50000;restarts=4;tabu=17;random_walk=0.01;breakout_interval=250;initial_perturbation=8;seed_graph=E2 candidate",20260725,"Apple M1 Pro 10-core CPU; GPU unused",31.718875,1982387,2,454,"20^14 21^10 22^19","Same SHA-256 as prior E=2 candidate; no improvement; INVALID",results/best_candidates/breakout_seed_20260725.g6
2026-07-23T16:31:00Z,1c085fdcd2fcf3c9f7aa0bbc792c06eeaa392a7df3461907135b84920e1cd839,reproduction_exoo42_seeded,"same configuration as exoo42_seeded_min_conflicts using current source",20260724,"Apple M1 Pro 10-core CPU; GPU unused",17.538607,1963226,2,454,"20^14 21^10 22^19","Byte-identical graph6 SHA-256 f5adf13e...; INVALID",results/best_candidates/exoo_seed_20260724_reproduction.g6
2026-07-23T16:34:00Z,ee1995e2aad0cd824a30eef06a70f2127929d07e911e628db9557c6359d0df0b,fixed_core_one_vertex_extension_sat,"42 variables; 2318 clauses; deterministic DPLL; time_limit=60s",none,"Apple M1 Pro 10-core CPU; one core used; GPU unused",0.131051,39,UNSAT,435,"base 19^4 20^12 21^18 22^8","CERTIFIED fixed-core UNSAT; two checked exhaustive tree proofs",certificates/exoo42_extension_sat.report.md
2026-07-23T16:44:00Z,2f0a1fba656b7550124f2a213a046c5ace42742d4d8e3c36967eefabe16e3674,exhaustive_hamming_radius_2,"all one- and two-edge changes around E=2 candidate",0,"Apple M1 Pro 10-core CPU; one core used; GPU unused",2.939512,408156,2,454,"20^14 21^10 22^19","No improving radius-2 graph; retained candidate full recount C5=0 I5=2; INVALID",results/best_candidates/exoo_seed_20260724_radius2_best.g6
2026-07-23T16:51:00Z,28b1e64ac5200ba67c687336a7c1c5bcb131c64ba36cb2135ef626265715297f,all_exoo42_k1_core_replacements,"42 labeled deletions; 83 variables each; 6652-6702 clauses; 60s per-instance cap",none,"Apple M1 Pro 10-core CPU; one core used; GPU unused",84.181127,104058,UNSAT_ALL_42,435,"fixed cores obtained by each vertex deletion","CERTIFIED: 42/42 UNSAT; independent checker valid=true; no symmetry assumptions",certificates/core_completion_all42/core_completion_check_summary.json
2026-07-23T17:11:05Z,4df7613c6544c34b72e4cb1c303451de1feac3400b31249a8c45c48187719ae5,exoo42_k2_core_benchmark,"delete original vertices 0,1; fixed 40-core; add 3 vertices; 123 variables; 13338 clauses; 60s cap",none,"Apple M1 Pro 10-core CPU; one core used; GPU unused",25.195826,19734,UNSAT_FIXED_CORE,435,"fixed core obtained by deleting vertices 0 and 1","CERTIFIED fixed-core UNSAT; proof valid=true; independent formula reconstruction exact",certificates/core_completion_k2_delete_00_01.report.md
2026-07-23T17:18:00Z,b1e4c1b5af23bf4b642dcc02562b001d80db5e6f93c5201d1f15d85689caa61a,residual_lns_19_edges,"base E=2 candidate; 15 edges induced by residual six plus 4 changed core edges; 19 variables; 356 clauses; 60s cap",none,"Apple M1 Pro 10-core CPU; one core used; GPU unused",0.000292,17,UNSAT_FIXED_BOUNDARY,454,"20^14 21^10 22^19","CERTIFIED fixed-boundary UNSAT; 17-record proof valid; independent CNF reconstruction exact",certificates/residual_lns_report.md
2026-07-23T17:19:00Z,b1e4c1b5af23bf4b642dcc02562b001d80db5e6f93c5201d1f15d85689caa61a,residual_lns_66_edges,"base E=2 candidate; all 66 edges induced by 12 implicated vertices; 66 variables; 4868 clauses; 60s cap",none,"Apple M1 Pro 10-core CPU; one core used; GPU unused",0.011881,47,UNSAT_FIXED_BOUNDARY,454,"20^14 21^10 22^19","CERTIFIED fixed-boundary UNSAT; 47-record proof valid; independent CNF reconstruction exact",certificates/residual_lns_report.md
