query,date,source,stable_identifier,model,theorem_or_claim,exact_relevance,follow_up_action,verification_status
"origin of gamma-theta assertion",2026-07-25,"W. F. Klostermeyer and G. MacGillivray, Eternal Dominating Sets in Graphs, JCMCC 68 (2009), 97-111","https://combinatorialpress.com/article/jcmcc/Volume%20068/vol-068-paper%207.pdf","one-guard in the relevant section; paper also treats all-guards","Theorem 14 claimed gamma(G)=gamma-infinity(G) iff gamma(G)=theta(G).","This is the original assertion, not a valid resolution: the 2015 paper identifies a gap in its proof.","Retain as attribution history only; never cite Theorem 14 as established.","VERIFIED-PRIMARY; local official-archive PDF"
"correction of 2009 claim",2026-07-25,"W. F. Klostermeyer and C. M. Mynhardt, Domination, Eternal Domination, and Clique Covering, DMGT 35(2) (2015), 283-300","doi:10.7151/dmgt.1799; arXiv:1407.5235","one-guard and m-eternal are explicitly separated","Section 6 says the 2009 proof is incorrect because the initial private-neighborhood cliques need not extend to the other vertices.","Reopens the universal assertion and explains the exact failed step.","Use this correction whenever discussing origin; do not repeat the 2009 theorem as fact.","VERIFIED-PRIMARY; local arXiv source"
"first explicit open question",2026-07-25,"Klostermeyer and Mynhardt 2015","doi:10.7151/dmgt.1799; arXiv:1407.5235","one-guard","Question 7.1 asks whether a graph can satisfy gamma=gamma-infinity and gamma<theta.","This is the counterexample form of the present conjecture.","Cite the exact question when writing historical introduction.","VERIFIED-PRIMARY; local arXiv source"
"later formulation and attribution",2026-07-25,"W. F. Klostermeyer and C. M. Mynhardt, Protecting a Graph with Mobile Guards, AADM 10(1) (2016), 1-29","arXiv:1407.5228","one-guard section; many other variants are separately defined","The arXiv source states the counterexample question as a Problem motivated by the error in the 2009 Klostermeyer-MacGillivray paper; it does not use the name Gamma-Theta Conjecture.","Establishes a careful chain: original erroneous claim/question from Klostermeyer-MacGillivray, then open problem of Klostermeyer-Mynhardt.","Check the published typesetting and the 2020 chapter before claiming an exact first use of the name.","VERIFIED-PRIMARY; local arXiv source"
"gamma-theta name",2026-07-25,"W. F. Klostermeyer and C. M. Mynhardt, Eternal and Secure Domination in Graphs, Topics in Domination in Graphs, Dev. Math. 64 (2020), 445-478","doi:10.1007/978-3-030-51117-3_13; https://digitalcommons.unf.edu/unf_faculty_publications/727/","variant to be checked section by section","The authors' institutional record verifies the chapter metadata and says that it presents several conjectures and open problems, but its full-text link resolves only to the publisher DOI. Later sources, including Virgile's 2024 dissertation, cite this chapter when naming the Gamma-Theta Conjecture; the chapter text itself was not obtained.","Supports later formulation attribution but not a direct-text claim about the first literal use of the name.","Continue searching lawful author/institutional copies during weekly refresh; do not infer exact wording from secondary snippets.","INSTITUTIONAL-METADATA VERIFIED; PRIMARY TEXT NOT INSPECTED"
"2022 state of the art",2026-07-25,"G. MacGillivray, C. M. Mynhardt, and V. Virgile, Eternal Domination and Clique Covering, EJGTA 10(2) (2022), 603-624","doi:10.5614/ejgta.2022.10.2.19; arXiv:2110.09732v2","one guard moves to an unoccupied attacked vertex along one edge","There is no counterexample to the Gamma-Theta Conjecture through order 11; exactly 56 connected graphs of orders 10 and 11 have gamma-infinity<theta, 55 of them have alpha=gamma-infinity<theta, and none has gamma=gamma-infinity<theta.","Published computational frontier and source of the near-miss catalog.","Retain exact Graph6 data; distinguish the published exhaustive claim from campaign certificate standards.","VERIFIED-PRIMARY; exact source and journal PDF saved"
"Table 9 exact Graph6 data",2026-07-25,"MacGillivray-Mynhardt-Virgile 2022 arXiv source, Table 9","arXiv:2110.09732v2; instances/mmv2022_table9.csv sha256 801f054853d07652c795fb16217425869f857d7f5d74e427165d554faf4eae1d","one-guard","The uncorrupted TeX contains 2 order-10 and 54 order-11 Graph6 records, 56 total.","PDF extraction corrupts backtick, tilde, caret, and backslash, so the TeX-derived machine-readable catalog is authoritative for this campaign.","Use instances/mmv2022_table9.csv; do not transcribe strings from PDF text extraction.","VERIFIED-PRIMARY plus machine parse and independent A/B validation"
"Table 9 parameter audit",2026-07-25,"Campaign independent verifier A/B evaluation of the 56 arXiv Table 9 graphs","instances/mmv2022_table9.csv","one-guard exactly as defined in campaign","Histogram of (gamma,i,alpha,gamma-infinity,theta): 52 x (2,2,3,3,4), 2 x (1,1,3,3,4), 1 x (2,3,3,3,4), 1 x (2,2,2,3,4).","Explains all 55 alpha=gamma-infinity near misses and identifies the sole non-alpha-equality graph.","Preserve validation logs and later attach certificate hashes in results/manifest.csv.","CAMPAIGN-CROSSCHECKED; not a literature claim"
"2024 dissertation count discrepancy",2026-07-25,"Virgelot Virgile, Mobile Guards' Strategies for Graph Surveillance and Protection, University of Victoria PhD dissertation (2024)","https://dspace.library.uvic.ca/bitstreams/00daa6ea-ea50-404b-8a18-d2259d315c01/download","one-guard, explicitly stated","Observation 3.22 is no counterexample through order 11. The prose then says 54 graphs with gamma-infinity<theta and 53 with alpha=gamma-infinity<theta, while Appendix Table 5.2 lists the same 2 order-10 plus 54 order-11 records as the 2022 paper.","The 54/53 figures are exactly the order-11-only counts; the wording accidentally omits the two order-10 graphs, not a corrected catalog.","Cite 56/55 for orders 10-11 combined and note this reconciliation.","VERIFIED-PRIMARY plus exact catalog/parameter reconciliation"
"MMV computation implementation",2026-07-25,"MacGillivray-Mynhardt-Virgile 2022, Section 4","doi:10.5614/ejgta.2022.10.2.19","one-guard","Used Python/NetworkX, a configuration-digraph deletion algorithm, NAUTY 2.7001, PLANTRI 5.2, PuLP and MIP; reports 85 CPU days for the through-order-11 Gamma-Theta table.","Relevant for reproduction and for avoiding a laptop-scale rerun.","Independently reimplement evaluators; do not rely on NetworkX as trust core.","VERIFIED-PRIMARY"
